Nombre,PadreID,PadreText,Rama,Carácter,Nivel,Orden,Suborden,Ministerio,Tipo de Documento,Número de Documento,Sigla,Teléfono 1,Teléfono 2,Teléfono 3,Fax,Sitio Web,Dirección,Departamento,Municipio,Representante Legal,Latitud,Longitud,Descripcion,imagen,
Alcaldía Municipal de Cértegui en Chocó,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,27160,,5728486212,,,,http://www.certegui-choco.gov.co,Palacio Municipal,CHOCÓ,CÉRTEGUI,,10.327008,-74.869359,"la alcaldia municipal busca propender por el rescate de la confianza de la comunidad en su Ente Administrativo y sus dirigentes, proyectando hacia ella todas aquellas acciones que conlleven a mejorar la calidad de vida de la misma y propiciando un ambiente de oportunidades, de desarrollo social y comunitario, como pilares fundamentales para retomar el camino hacia la excelencia, la productividad y la calidad de vida que todos los certegueños nos merecemos.",http://certegui-choco.gov.co/apc-aa-files/33613735626465336636336333643733/escudo_municipal_modificado.jpg,
Alcaldía Municipal de Chachagüí en Nariño,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,52240,,5746795045,,,5727328444,http://www.chachagui-narino.gov.co,Calle 3 # 4 - 60,NARIÑO,CHACHAGÜÍ,,4.955425,-76.605949,,http://chachagui-narino.gov.co/apc-aa-files/30386135393336376635323237653961/logo-alcaldia-henry.jpg,
Alcaldía Municipal de Chaguaní en Cundinamarca,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,25168,,5748595032,,,5718461015,http://www.chaguani-cundinamarca.gov.co,Carrera 4 # 4 - 10,CUNDINAMARCA,CHAGUANÍ,,1.298171,-77.270275,"La alcaldia municipal busca hacer de Chaguaní y sus pobladores un ejemplo claro de progreso y liderazgo regional, ya que es un programa nacido desde la planificación y creación de las propuestas participativas de todos los sectores y habitantes del municipio, constituyéndose así como una iniciativa que genera progreso, unidad y cohesión social en pro de la mejora integral entre todos los chaguaniceños",http://chaguani-cundinamarca.gov.co/apc-aa-files/64363033623665323432326437353766/escudo.jpg,
Alcaldía Municipal de Chalán en Sucre,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,70230,,5748332120,5748334873,5748331150,,http://www.chalan-sucre.gov.co,Palacio Municipal,SUCRE,CHALÁN,,4.442246,-74.044591,"Chalán es una entidad territorial con autonomía política, administrativa y fiscal, cuyo objetivo es adelantar el proceso de mejoramiento continuo de los indicadores de desarrollo humano, a través de cambios que se evidencien en los niveles de productividad y competitividad   %3B    seguridad democrática   %3B    los estándares de vida   %3B    el acceso a la propiedad, a bienes básicos y servicios   %3B    la participación política y el disfrute de los demás derechos y libertades consagradas en la Constitución Nacional.",http://chalan-sucre.gov.co/apc-aa-files/65396231363538633237353363303861/escudo_1.bmp,
Alcaldía Municipal de Chameza en Casanare,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,85015,,5775866058,,,5786350009,http://www.chameza-casanare.gov.co,Palacio Municipal,CASANARE,CHAMEZA,,,,"La alcaldia municipal busca Consolidar a Chámeza como un municipio competitivo y planificado, fomentando el desarrollo económico y fortaleciendo la prestación de los servicios públicos con una gestión administrativa transparente donde sus habitantes se sientan a gusto, por que prima un ambiente amable y seguro con principios morales y la familia sea el núcleo de la sociedad.",http://chameza-casanare.gov.co/apc-aa-files/39356432376132383461343864663861/escudo-chameza_1.jpg,
Alcaldía Municipal de Chaparral en Tolima,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,73168,,5748446275,5748446089,5748446275,5782461309,http://www.chaparral-tolima.gov.co,Carrera 9 # 9 esquina,TOLIMA,CHAPARRAL,,5.213461,-72.869955,"La Alcaldía Municipal es una entidad pública del orden territorial que propende por el desarrollo armónico del municipio aprovechando al máximo sus recursos económicos, humanos, técnicos y naturales en la búsqueda del desarrollo razonable, creciente y sostenible y el mejoramiento continuo del nivel de vida de sus habitantes, con la prestación eficiente de los servicios a su cargo, conservación del orden público, cumplimiento de la constitución, las leyes y demás normas legales y con transparencia y celeridad generando liderazgo a nivel local.",http://www.chaparral-tolima.gov.co/img/municipio.png,
Alcaldía Municipal de Charalá en Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,68167,,5777180062,,,5777257756,http://www.charala-santander.gov.co,Carrera 17 # 24 - 11,SANTANDER,CHARALÁ,Fabio León Ardila,3.725089,-75.485217,"El Municipio de Charalá como ente territorial, es una entidad prestadora de servicios a la comunidad, que busca mejorar la calidad de vida de sus habitantes, mediante el trabajo participativo integrado, coordinado y planificado por parte de sus diferentes organismos en concertación con la comunidad, guiada por los principios de: equidad, transparencia, eficiencia y eficacia, dentro de un marco jurídico y democrático, bajo criterios de equidad, sostenibilidad ambiental y calidad.",http://charala-santander.gov.co/apc-aa-files/33653564303864666132643536663533/Escudo_de_Charal__4.jpg,
Alcaldía Municipal de Charta en Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,68169,,5786591007,,,577669534,http://www.charta-santander.gov.co,Carrera 1 # 2 - 99,SANTANDER,CHARTA,Ezequiel Suárez Villabona,6.287743,-73.148735,"La administracion municipal busca consolidar un Municipio con un alto grado de desarrollo, social, económico, cultural y político, con un administración pública incluyente, solidaria y participativa, orientada al servicio y comprometido con la búsqueda del bienestar de los habitantes de la localidad",http://charta-santander.gov.co/apc-aa-files/38633436386133376135356463323465/escudo-charta-1-_1_1.jpg,
Alcaldía Municipal de Chía en Cundinamarca,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,25175,,5727798061,,,5718461028,http://www.chia-cundinamarca.gov.co,Carrera 11 # 11-29,CUNDINAMARCA,CHÍA,,7.279126,-72.965567,,http://chia-cundinamarca.gov.co/images/logo3.jpg,
Alcaldía Municipal de Chivolo en Magdalena,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,47170,,5776607399,,,5754854213,http://www.chibolo-magdalena.gov.co,Transversal 5 # 1a - 80,MAGDALENA,CHIVOLO,,4.861332,-74.060651,"La administración municipal busca proporcionar de manera efectiva a los habitantes del municipio, la prestación de los servicios públicos tales como salud, educación, infraestructura, ambiente sano, crecimiento y desarrollo económico, social y cultural, promoviendo la participación comunitaria en aras de mejorar la calidad de vida de nuestros ciudadanos y de quienes visitan nuestro territorio.",http://chibolo-magdalena.gov.co/apc-aa-files/66346662396332653739353165313265/ecsudo-chibolo_nuevo_head.jpg,
